This file was created by CMPT_IND_RETS using the 201507 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
193104 -14.10 -20.31 -17.47 -17.66 -16.35  -7.46 -10.21 -11.43  -9.96 -14.15
193105  -9.66 -17.07 -16.41 -17.41 -11.98  -8.23  -9.48 -15.91 -11.67 -16.31
193106  15.19  19.09  21.58  21.21  16.41  10.64   7.11  12.23  10.11  22.86
193107  -2.14  -6.73  -9.62  -6.82  -9.92  -0.96  -3.66  -3.30  -2.66  -9.05
193108  -2.27  -3.48  -3.29   8.71  -2.30  -0.20  -0.14  -1.10   0.85  -4.37
193109 -27.38 -34.66 -32.23 -32.07 -37.66 -17.37 -28.87 -31.75 -32.02 -28.12
193110  10.53  13.24  12.38  10.84  13.91   0.98   7.54  13.21   8.00   4.81
193111  -7.54  -0.95  -9.36  -7.95 -10.22 -13.82  -8.97  -9.05  -4.52 -13.74
193112 -13.20 -17.39 -18.21 -21.94 -19.11 -13.49 -20.34 -11.51 -12.76 -21.63
193201   6.46   8.62   6.47   8.92   6.74  -1.22   5.84   0.98  -2.15  15.14
193202   2.96   2.21   1.29   4.42   3.54   5.31   1.21  -1.71   5.62   1.56
193203  -7.47 -16.49 -12.35  -4.08 -15.39  -4.34 -15.96  -8.89 -10.43 -15.35
193204 -15.92 -24.83 -19.78 -12.35 -23.40 -20.40 -10.09 -13.65 -16.22 -18.60
193205 -16.27 -22.91 -20.44  -9.81 -19.63 -18.44 -22.22 -26.30 -29.55 -24.64
193206   7.75   4.12   5.13   2.21   6.82 -10.80   2.37   5.88  -0.29   1.34
193207  36.22  37.56  46.85  47.72  46.06  30.19  24.20  30.86  36.79  56.12
193208  57.45  74.74  70.08  43.35  53.99  36.21  67.83  40.14  65.60  77.27
193209  -4.98   2.85  -6.22  -7.89  -7.81   1.85  -3.94  -2.82  -7.78  -7.73
193210 -13.58 -22.86 -18.30  -8.48 -18.75 -11.86 -14.84 -17.01 -13.79 -18.10
193211  -7.61  -7.44  -4.51  -4.45  -8.74  -1.24  -6.82  -3.77  -6.58 -10.25
193212  -2.19  -5.77  -3.53  -4.94  -2.34  -0.48  -5.65  -0.92   3.05  -4.19
193301   2.81   2.61   4.37  -1.49   5.86  -0.55   0.53  -1.45  -5.68   7.70
193302  -7.95 -25.58 -17.09  -9.45 -16.57 -12.29 -17.35 -11.27 -21.74 -16.37
193303  14.73   4.63  15.51   8.54   9.86  -1.54  17.79   5.31 -12.56   3.14
193304  53.81  63.74  59.84  39.08  54.68  34.49  43.53  23.01  35.11  41.66
193305  46.49  81.29  61.60  60.58  50.54  19.21  64.61  34.64  45.53  65.74
193306  22.82  32.34  20.44  21.85  16.12  12.65  24.68   9.00  20.45  22.65
193307  -9.05 -13.20 -10.41 -14.29  -6.68   0.95 -12.90 -18.42 -17.24  -2.23
193308  10.54  14.63  13.08  15.25  15.62   6.11  10.12   3.55   1.55   7.59
193309 -13.86 -16.98 -14.43  -9.18 -14.81  -8.52 -15.37  -7.25 -23.04 -17.91
193310  -8.57 -13.39 -10.75  -9.68 -13.04  -7.82 -10.63  -4.94 -10.32 -11.62
193311   3.57  11.25   9.24   6.84   9.93   3.71   8.07   6.49  -0.55   3.22
193312  -0.15   9.17   3.70  -7.41  10.38  -0.21   1.40 -10.96  -2.41   1.28
193401  27.04  39.71  29.73  31.14  35.40  13.45  36.97  28.57  28.15  35.82
193402  -0.29   3.70   1.08   0.07  -5.08  -2.37   7.74  -3.92   0.24   0.96
193403   1.34  -1.55   0.33  -3.06   3.36  -2.25   5.30  -1.90  -1.62   0.41
193404   2.44  -7.83   0.19   0.86  -2.22  -1.63   0.67   1.24  -3.14   0.07
193405  -8.27 -14.63 -12.70  -9.32  -8.70  -7.05 -12.88  -9.77 -10.79  -9.28
193406   1.76  -5.89   1.41   1.14   4.15   2.14  -0.07   1.40   2.71  -2.56
193407 -14.81 -21.41 -19.15 -16.71 -17.10  -9.54 -16.09 -12.43 -22.47 -22.06
193408   7.92  10.11  11.59   8.99   9.89   0.10   8.19   2.43   4.23  10.46
193409  -0.69  -3.50  -2.75  -1.70  -0.92   0.09   5.05  -1.42   0.54  -1.35
193410  -1.96  -1.32  -2.15  -4.16  -0.17  -4.45   5.63   1.82  -7.54  -4.70
193411  10.97  26.93  19.39   7.80  16.39  -0.60  10.92   4.84   0.68   6.31
193412   0.41   5.25   4.26  -0.66  -0.26   2.97   1.67   0.10  -9.03  -0.45
193501  -2.72  -7.51  -2.44  -0.43  -4.88  -3.15  -2.78  -1.53  -3.34  -4.35
193502  -1.86  -5.54  -4.74  -3.56  -1.26  -3.70  -7.17  -1.05 -15.88  -9.30
193503  -8.03  -9.67  -7.84  -7.44  -6.75  -2.18  -6.90  -4.70  11.97  -8.31
193504   6.43  13.77  10.38  14.30  12.59  10.62   3.14   3.30  10.38  10.32
193505   3.15  -2.56   2.19  -0.48   1.54   5.24   1.43  -1.33  22.72   2.85
193506   2.49   9.16   5.03   0.29   7.50   6.40   3.10   4.04   3.37   3.43
193507   5.06  20.63  14.45   2.68  14.94   8.57  10.66  10.04  15.39   9.88
193508   5.61   5.25   5.49   8.46   3.09   5.32  11.79   0.58  20.43  13.92
193509   4.34  12.82   4.36  -2.50   5.02   0.28  -1.54   5.85  -7.79  -0.88
193510   5.13  13.62   8.98  10.96  17.21  12.75  10.76  10.08  19.66   2.83
193511   9.42  11.79  12.05  14.57   9.83   8.77  10.93   1.43   1.32  29.75
193512   2.55   6.11   8.26  14.81   9.42   2.44  -0.46   8.48   7.81   3.64
193601  13.55  10.67  11.65  24.36  10.06   5.36   7.66  13.98  19.55  23.07
193602   1.76  10.32   7.02   2.66   3.41   5.31   1.22   1.26  -8.18   4.83
193603  -0.77   6.43   0.67   1.00   0.13  -3.12   3.99   3.47   5.77  -1.56
193604 -10.45 -16.65 -13.16 -12.04 -10.53  -7.86 -11.00 -14.09 -10.16 -12.51
193605   2.69   4.21   6.03  -1.30   6.68   3.05   7.86   6.25  10.95   6.59
193606   0.87   0.91  -1.34  -0.08   0.25   2.72   2.19   0.78   2.08  -0.66
193607   5.59   7.24   9.41   5.54   9.96   2.19  10.71   5.92  10.22   7.33
193608   0.94   2.62   3.37   0.60   0.29   1.33   3.60  -1.07  -1.35   2.19
193609   2.29   4.60   2.94   6.73   5.23   2.50   6.15   1.06   0.33   2.18
193610   5.96   4.41   7.21   8.51   4.88   4.78   8.79   3.54   3.42   6.38
193611   9.65   4.34  10.93   8.66   6.71   4.62  15.75   5.46  -2.56   8.18
193612   1.01  -4.46   6.22  13.11  -0.68  -3.07  -6.58  -2.45   1.47   3.43
193701   5.69  11.27  10.57   7.23   4.88  -0.29   3.95   8.96   7.88   6.78
193702   1.30   2.45   2.85  -1.05   1.14  -2.82   3.77  -3.49  -4.17   6.62
193703  -0.97  -3.42   1.92   4.85  -4.84  -1.86  -2.75  -3.36  -7.56   1.43
193704  -8.78 -11.48 -10.36  -8.06  -9.38  -6.81 -10.66  -5.41 -10.07 -11.48
193705  -2.20  -3.91  -0.20  -2.57   1.24  -2.69  -4.06   0.28  -6.62  -4.37
193706  -6.46  -9.83  -6.31  -6.28  -5.18  -6.07  -5.72  -6.90  -6.85 -12.25
193707   7.00  14.45   9.90   7.73   9.00   7.17   9.86   6.20  23.28  10.32
193708  -3.72  -6.23  -5.01  -6.46  -2.03  -2.52  -5.44  -4.45 -10.98  -6.77
193709 -16.88 -21.96 -21.42 -19.22 -20.45 -10.68 -18.56 -12.57 -16.16 -19.13
193710  -8.76 -13.19 -12.68  -6.68 -12.31  -6.74  -8.68  -4.84  -2.64  -9.36
193711 -10.61 -15.51 -11.05 -11.44 -11.55  -6.64 -14.40  -9.71   0.02  -9.45
193712  -7.63 -18.12  -8.61  -6.80  -5.92  -6.96 -13.14  -6.68 -12.41 -12.88
193801   6.44  10.77   2.89   2.68   2.85   2.63   5.94   4.12  -8.03   3.98
193802   4.36   4.28   8.63   6.19   9.94   2.36   4.35   5.23   7.12   4.34
193803 -24.14 -32.72 -29.76 -28.20 -29.90 -22.98 -26.44 -16.34 -27.17 -30.81
193804  17.16  21.86  21.61  18.46  22.48  16.12  18.64  13.63  21.86  21.28
193805  -4.99 -12.48  -8.78  -9.00  -6.60  -0.86  -5.51  -2.38   2.54  -6.13
193806  23.78  40.26  37.71  28.52  33.88  19.91  30.15  15.38  23.75  27.47
193807  12.62  19.64  10.60  11.73  13.58   6.24  14.47   6.46   1.07  13.00
193808  -6.59  -2.02  -4.94 -10.02  -3.95  -4.60  -5.49  -2.78  -8.89  -9.34
193809  -2.38  -1.09  -0.89  -1.24  -0.78  -3.00  -1.11  -1.88   1.28  -2.82
193810  11.12  17.99  16.29   6.69  14.38   2.08  13.28   9.67  28.55  14.40
193811  -3.67  -5.83  -1.88  -2.80  -4.79  -0.38  -0.93   1.51 -10.30  -7.44
193812  -0.46   0.08   5.83   2.47   6.51   0.04   0.58  -0.20   3.59   4.74
193901  -4.84  -9.45 -10.26  -8.25  -9.26  -1.89  -3.39  -5.45  -1.52  -7.72
193902   4.02   5.49   3.82   0.70   3.35   2.93   6.13   4.90   9.35   3.84
193903 -12.24 -22.07 -20.99 -14.58 -19.64  -5.59 -13.81  -8.15 -18.14 -17.16
193904   1.69   0.39  -0.42   0.45  -0.33   3.34   0.37  -0.24   2.59  -1.75
193905   6.31   7.69   9.70   5.19  10.66  10.45  14.37   6.14  10.04   6.40
193906  -5.24 -11.31 -10.00  -6.24 -11.68  -7.47  -4.41  -3.00  -7.65 -10.20
193907  10.56  18.76  16.86   5.59  17.51  15.31  10.03   8.22  17.86  12.55
193908  -8.93 -12.48 -11.63  -6.25 -12.33  -8.33 -11.12 -10.36  -8.41 -11.10
193909  36.35  38.69  41.45  71.54  21.99   9.92  13.36  14.89   9.54  55.43
193910  -0.58   0.84  -1.08  -5.73  -1.00   3.11   6.26   2.87   0.04  -3.39
193911  -5.63  -7.31  -9.20 -13.67  -5.24   0.06  -4.50  -3.33  -5.98 -10.61
193912   3.03   1.92   3.88  -1.41   0.88   5.99  -1.11   0.38   0.80  -0.62
194001   1.20  -2.04  -4.48  -1.10  -1.32  -1.49  -1.05  -1.13  -3.97  -0.65
194002   4.71   4.11   3.43   1.40   1.95   4.61   3.73   1.53  -2.07   1.51
194003  -0.32   5.32   1.95   1.00   4.93   2.95   6.28   4.87   5.79   3.54
194004   3.21  -1.68   2.23   3.84   0.16  -1.64  -0.17   1.69  -3.52  -0.16
194005 -26.67 -28.02 -26.89 -27.09 -23.88 -23.56 -27.55 -22.32 -25.41 -27.59
194006   4.87   8.05   5.42   6.96   3.94   9.79   7.95   3.69  30.29   6.11
194007   1.83   3.58   4.89   2.97   5.09   0.75   5.40   1.51  -2.44   4.06
194008   1.51   4.63   2.87   0.49   6.07   2.20   2.83  -0.98  -1.92   1.14
194009   1.98   7.12   5.34   3.09   3.11   1.53   3.97   4.44  -2.08   2.96
194010   2.21   8.13   6.88   3.58   6.65   6.01   0.73  -0.18  10.32   4.25
194011   0.81   2.44   0.07   1.79  -3.03  -0.36   2.43  -0.49 -17.16  -1.67
194012  -2.04  -1.23  -0.22  -0.79   0.50  -1.70  -3.24  -0.68  -2.28  -4.66
194101   1.07  -4.90  -5.20  -3.11  -0.46   0.11   0.36   3.43  -2.48   8.53
194102  -1.36  -2.86  -2.33  -1.27   0.42   0.22  -4.10  -3.32   0.24  -1.60
194103   2.17  -0.73   0.05   3.47   3.15   0.32   1.93   0.30  -7.77   4.02
194104  -6.33  -8.37  -6.40   1.26  -6.56  -5.62  -4.97  -5.87 -12.78  -4.67
194105   0.38   0.89   2.17   6.75  -0.21   1.14   0.51   3.30  -4.85  -1.13
194106   6.27   7.05   7.08   7.60   7.83   1.44   9.11   4.43   6.54   4.77
194107  13.24  14.20  10.68  15.58   6.82  13.57  13.17  12.65   9.34  17.57
194108   0.91  -2.69  -1.29  -2.31  -1.56   0.53   2.60   0.45  -2.33  -1.04
194109   0.56  -2.88  -2.75  -1.83   0.30  -3.17  -1.35   2.58  -3.92  -3.85
194110  -5.25  -8.02  -6.78   0.09  -7.68  -5.32  -6.46  -2.48 -13.56  -6.19
194111  -2.28  -5.35  -2.66  -2.62  -1.71  -8.30  -4.46   0.04 -11.76  -3.79
194112  -7.26  -8.21  -5.05 -13.28  -6.96  -5.24 -12.83  -3.98 -11.78 -11.12
194201  10.34  14.47   7.03   9.91   9.00  -4.43   7.03   2.96  17.68  35.30
194202  -2.71   3.70  -0.55  -2.93  -1.10  -6.45  -1.35  -5.39  -2.54  -2.65
194203  -6.29  -0.26  -3.74  -5.61   0.47  -4.62  -4.53  -4.48 -11.82  -8.96
194204  -4.75  -3.62  -5.64  -4.17  -5.29  -0.94  -5.95  -3.16  -5.72  -2.25
194205   4.44   0.41   1.02   2.30   6.26   9.60   6.22   7.62   6.83   1.91
194206   3.72   1.28   2.10   4.57   3.52   1.40   1.78   4.64   0.05   2.16
194207   4.38   4.84   3.45   5.02   5.32   3.27   5.43   2.45   0.12   7.16
194208   1.92   4.06   2.08   4.85   1.72   2.64   1.02   3.02   2.10   5.44
194209   3.16   4.57   3.27   7.12   4.68   8.88   1.77   2.02  10.68   9.03
194210   7.58  12.06   9.80   8.96  11.17  15.01   5.66   4.80  23.20  11.95
194211   0.87  -4.19  -2.97  -0.88   0.69   5.54   3.51   1.69  -4.77  -3.98
194212   3.47   3.42   3.76   5.12   8.95   4.68   0.37   9.48   5.03   1.85
194301  14.79  17.52  13.41  13.74   9.07   9.53  15.70   6.07  36.70  26.50
194302   8.43  15.05  10.34   9.27   7.14   8.44   8.14   6.05  23.47  27.07
194303   9.93  15.26   9.99  15.09  10.92   6.54  13.63  11.93   2.39  11.93
194304   4.57   3.46  -0.30   4.13   2.57   8.01   7.18   5.01  11.68   5.93
194305   7.39   9.52   6.84   6.60   9.43   6.12   8.93   3.56  17.96  10.54
194306   2.92   2.03   0.87  -1.48   3.25   1.79   6.24   2.42   0.97  -2.50
194307  -4.98 -10.58  -7.96  -4.37  -8.66  -3.15  -0.65  -2.75  -5.91  -7.46
194308   0.31   2.09   0.02   0.77   0.81  -1.12   2.03  -1.00  -1.13  -0.49
194309   3.91   2.08   2.63   4.04   4.63   5.81   5.96   3.85   5.66   3.14
194310   2.10  -1.51   0.03  -1.99  -1.67   6.18  -1.81  -0.06   0.06  -1.54
194311  -6.01 -11.61  -9.06  -8.78  -9.17  -6.01  -6.73  -5.67 -11.73 -11.45
194312   9.82  14.26   9.57   9.26  11.95   6.92   7.95   5.95   9.55   9.64
194401   4.76   4.99   4.60   2.33   5.17   4.71   2.98   2.51   2.58   6.15
194402   1.13   1.14   0.89   1.43  -1.13   1.92   3.44  -2.29   2.20   2.82
194403   4.12   5.55   2.76   7.05   4.32   2.72   5.65   5.86   2.37   4.56
194404  -2.28  -3.18  -3.17  -1.62  -2.32  -3.47  -2.41  -1.86  -4.12  -3.91
194405   6.33  11.53   6.88   4.55   6.83   7.19   8.49   5.44   1.73   4.90
194406   7.05  23.12  10.76   3.66  10.12   6.94   8.05   5.61   8.75  12.53
194407  -0.58  -2.25  -1.79   0.90  -2.25   0.13   0.16  -2.61  -0.83  -1.76
194408   3.99   7.94   3.18  -1.34   1.75   1.93   2.63   0.07   6.81   1.70
194409  -0.18   0.30   0.89  -2.26   0.21   0.47   0.92   1.54  -3.39  -0.83
194410   0.32  -2.79  -0.29   0.45   0.06   0.58   3.54  -0.60  -0.93  -0.07
194411   2.76   1.92   2.30   2.72   1.13   0.32   2.74   1.48  -2.00   3.24
194412   3.42   7.03   6.39  10.61   6.36   2.87   4.20   5.32   2.88  13.11
194501   4.37   6.61   4.62   4.90   2.94   3.26   3.78   1.75   8.84   3.18
194502   4.98  10.08   8.82  10.21   6.20   4.33   8.99   6.28   9.94  10.48
194503  -4.32  -7.70  -6.35  -7.21  -6.22  -5.26  -3.55  -3.34  -4.93  -5.42
194504   7.44  12.89   8.83   6.48   9.18   5.67   8.26   9.73  12.06   9.39
194505   4.40   3.86   1.88  -0.31   0.55   3.62   4.93   3.96   2.39   3.94
194506   4.44   1.90   2.97   1.48  -0.68   3.79  -0.61  -3.29   8.95   8.60
194507  -2.72  -1.66  -4.16  -3.14  -3.85  -2.78  -1.93  -2.09   1.93  -5.69
194508   7.23   9.43   8.46   2.79   8.86   2.67   7.78   9.96   1.24   2.53
194509   5.36   4.42   6.93   4.31   4.68   3.38   7.66   6.96   8.43   6.71
194510   9.92   1.16   4.58   9.51   2.55   4.49   8.55   7.62   9.91   7.74
194511   9.05   7.92   7.83  12.33   6.65   9.54  13.95   9.49   8.02  12.10
194512   1.32   4.71   2.60   0.65   3.04   1.41   5.87   2.81  -1.01   1.47
194601   8.92   9.79   9.97   3.15   7.03   2.19   7.84   9.56  14.77  11.60
194602  -6.68  -9.14  -6.57  -4.99  -7.89  -7.26  -3.82  -4.32  -5.70  -7.37
194603   5.64   2.53   5.80   9.94   3.07   0.42  12.00  15.60   6.13   2.81
194604   6.47   1.93   4.74   7.61   2.41   0.25  10.91  13.60   4.73   3.41
194605   4.18   8.72   6.48   5.65   6.56   1.13   5.38   5.93   3.44   3.95
194606  -4.52  -6.92  -4.71  -3.38  -6.36  -4.21  -6.89  -6.93  -2.71  -4.31
194607  -1.68  -6.11  -4.79  -0.72  -5.40  -4.31  -3.80  -3.90  -4.58  -5.45
194608  -7.06 -10.19  -7.10  -7.33  -9.14  -5.66  -7.20  -4.91  -4.51  -8.53
194609 -11.96 -18.41 -13.51 -11.44 -12.83 -15.07 -11.82  -7.74 -10.03 -16.08
194610   1.59  -2.69  -2.01  -0.90  -2.40  -4.51  -4.45  -2.37   1.15  -0.45
194611  -2.12  -0.60   0.80   1.44  -1.38  -2.88  -1.96   1.18   0.72  -0.55
194612   4.06   5.99   6.51   6.18   7.82   2.37   3.03   7.23   6.11   0.75
194701   1.57   9.99   2.95   1.27   5.40   3.80   0.69  -2.73   0.76   4.03
194702   0.15  -1.39  -0.60   0.18  -2.21  -6.09   0.24  -4.21  -1.62  -0.32
194703  -3.36  -3.86  -2.72   1.48  -3.15  -4.46  -3.20  -1.26  -3.14  -4.43
194704  -8.69  -9.63  -8.17  -2.43  -8.04  -6.61 -10.11  -8.46  -5.24  -9.10
194705  -3.18  -6.15  -4.40  -1.93  -2.94  -2.86  -2.65  -5.38  -2.56  -4.22
194706   6.11   4.88   5.10   9.88   6.06   7.68   8.98   3.07   3.39   4.73
194707   5.39   8.45   6.43   7.10   7.65   2.23   5.58   3.97   3.85   6.78
194708  -0.79  -1.28  -1.05  -0.68  -2.55  -2.07  -3.46  -4.93  -0.28  -3.47
194709   1.23   1.67   1.60   1.50   2.15  -0.41  -2.14  -3.97  -1.62  -0.55
194710   3.06   6.18   3.95   6.78   3.83  -1.68   3.60   3.60   1.06   0.88
194711  -2.76  -3.74  -2.66  -0.39  -1.70  -8.28  -3.45  -2.87  -7.76  -2.90
194712   0.12   2.14   2.10  12.37   1.32  -1.61  -1.11   0.87   0.02   4.74
194801  -2.63  -4.16  -2.54  -4.14  -3.32   3.29  -0.89  -5.61   0.92   2.42
194802  -6.59  -7.73  -6.30  -4.65  -6.23  -4.21  -5.52  -4.78  -3.37  -5.66
194803   6.17  10.56  11.16  12.24  12.37   9.35   6.54   6.51   7.03  10.87
194804   2.48   1.80   2.69  13.77   2.43   3.40   5.57   1.52   2.51   4.85
194805   7.45  13.99   8.67   7.70  12.34   6.66   9.25   7.24   7.12   8.43
194806  -2.47  -1.77  -2.21   2.39  -0.54   1.38  -2.04  -1.03   2.31  -1.42
194807  -2.85  -6.67  -5.60  -7.76  -6.35  -8.35  -6.31  -4.64  -3.13  -5.46
194808  -0.03  -0.55  -0.11  -1.65   0.11  -2.15   0.27  -1.91  -0.36   0.04
194809  -4.21  -4.99  -3.93  -6.40  -4.17  -5.59  -3.50  -3.42  -1.91  -5.24
194810   3.00   7.25   5.82   7.73   5.55   4.42   3.70   5.13   4.94   6.03
194811  -8.64 -14.26 -11.12 -13.32 -10.32 -10.36  -8.36  -7.32  -9.74 -11.58
194812  -0.89  -1.21   1.26   5.79   6.54  -0.50  -0.11   2.68   3.03   1.54
194901   4.07   1.15   1.33  -3.88  -2.27   4.51   3.26   4.85   4.51   2.02
194902  -3.70  -6.35  -4.13  -5.41  -6.86  -6.76  -3.29  -2.45   0.45  -4.21
194903   5.32   7.32   5.93   6.54   4.87   6.64   5.56   6.21   5.44   6.47
194904  -2.43  -6.82  -4.79  -1.56  -5.28  -7.73  -0.91   0.26   0.75  -1.75
194905  -2.23  -6.52  -5.27  -5.93  -6.38  -4.46  -0.98  -2.68  -0.57  -5.52
194906   0.45  -0.93  -1.64  -0.41  -3.55   3.46   2.55   1.04  -0.89  -1.66
194907   5.94   9.38   6.77   6.12   7.73   3.87   3.86   5.39   5.22   5.72
194908   2.59   2.13   2.21   6.26   1.57   1.35   2.31   0.81   4.37   1.96
194909   3.08   6.08   4.08   4.34   4.99  15.09   4.45   3.50   4.52   4.54
194910   3.40   6.96   4.40   3.72   4.38   6.21   1.55   3.45   0.89   4.72
194911   0.93   2.89   1.17  -1.21   1.05  -1.73   0.29   2.58   3.71  -0.24
194912   6.80   9.42   7.29   1.56   9.35  13.93   5.89   8.13   4.06   8.53
195001   4.60   4.76   3.10   1.76   9.71   1.51   3.01   2.16   3.97   4.98
195002  -0.68   2.96   2.51  -0.84   4.31   0.88   0.92   3.93   3.00   1.52
195003  -0.55   1.67  -1.17   3.43   3.19   6.48  -1.58  -2.92   0.95  -0.55
195004   1.82  10.33   6.19   4.09   8.77  19.07   2.75   5.63   0.21   3.94
195005   3.24   3.74   4.33   9.24  -0.05  -2.72   2.53   1.45   1.25   1.78
195006  -6.73  -9.71  -7.66  -7.00  -9.47  -9.47  -4.91  -6.37  -7.69  -8.19
195007   6.35   1.66   6.79  10.70  -0.64  -2.26   1.89  -3.18  -4.75   8.69
195008   4.19   7.72   5.74   5.72   6.82   7.90   4.41   4.05   4.03   3.25
195009   4.52   6.17   5.75   2.41   7.40   4.54   6.69   5.85   4.23   6.01
195010  -0.17  -2.21   0.31   0.04  -3.41  -2.02  -1.26   0.55  -1.00  -0.25
195011   0.93  -0.56   5.50   5.48   1.74  -1.29   0.81   3.28  -0.89   5.52
195012   6.80  10.05   8.74  10.35   5.25   2.26   4.73   6.30   3.86  13.95
195101   6.77   9.26   8.48   6.28   9.77   4.31   7.68   4.05   6.17   6.91
195102   1.32   1.49   0.84   0.05   2.89   4.47   1.71   2.16   2.72   0.49
195103  -3.96  -3.02  -3.79  -3.31  -3.39  -1.93  -3.82  -0.04  -0.67  -3.68
195104   2.10   4.01   6.47   8.62   4.79   2.81  -0.01   8.90   0.95   2.44
195105  -1.31  -3.80  -2.79  -3.65  -2.71  -5.98  -1.93  -0.23   0.74  -3.88
195106  -4.57  -7.66  -5.53  -1.25  -3.85  -5.38  -3.30  -1.45  -0.88  -5.40
195107   2.63   4.31   8.78   9.41   4.91   7.40   2.68  10.80   5.02   6.86
195108   3.16   6.51   5.74   5.44   6.18   6.56   4.21  -0.63   2.89   4.56
195109   0.41   2.40   2.70   2.27   2.91   0.57   2.29   0.02   1.12   4.09
195110  -2.19  -2.86  -2.55  -0.85  -3.63  -6.55  -3.48  -3.58   0.96  -3.22
195111  -0.70   1.56   0.14  -0.24   2.53   4.73   1.00  -1.33   2.02   2.04
195112   0.54   1.72   2.12   1.71   2.93   0.58  -0.59   3.19   2.89   1.00
195201   0.40   0.30   1.59   6.77   0.73   2.00   0.48   2.52   3.21   2.10
195202  -1.54  -1.61  -3.16  -2.21  -1.50  -1.36  -1.84  -3.56  -0.23  -1.69
195203   1.69   3.50   2.70   6.11   3.51   0.09   1.58   0.21   1.69   4.47
195204  -3.55  -4.42  -6.04  -7.58  -2.94  -3.59  -2.54  -4.83  -1.72  -3.91
195205   1.93   2.51   2.31   3.19   1.13   0.44   2.65   1.06   3.23   2.63
195206   1.89   2.09   3.48   4.35   4.08   2.18   3.05   0.95   1.67   4.14
195207   0.10   1.10   1.80  -0.97   1.65   3.11   1.25  -2.22   1.87   0.74
195208   0.86   1.25  -0.69  -2.29   0.56   0.64  -0.24  -0.01   2.20  -0.07
195209  -2.32  -0.09  -2.30  -4.06   1.67   2.28  -1.07  -2.25   0.66  -1.20
195210  -1.87  -0.59  -1.50   0.02  -0.50   0.00  -0.99  -1.48  -0.22  -1.16
195211   4.92   5.79   6.65   2.42   6.64   5.77   3.64   5.39   5.01   6.19
195212   2.20   1.78   1.90   4.82   2.91   0.76   0.73  -0.26   1.86   3.60
195301   2.83   4.48   2.95  -1.42   1.68   6.22   2.17  -2.37   1.06   3.11
195302   2.69   1.65   1.02   0.36   0.72   4.57   0.79   2.07   1.07   0.60
195303  -1.00  -2.67  -1.90   2.58  -2.38  -1.32   0.03  -0.02   0.56  -1.47
195304  -0.84  -3.31  -2.57  -3.62  -2.48   4.63  -1.59  -2.47  -3.14  -2.70
195305   0.73  -0.60   0.54   1.44  -0.20   0.51   0.88   0.65  -0.33   1.46
195306  -3.04  -5.27  -3.54  -1.48  -2.98   1.78  -3.04  -3.13  -2.85  -3.04
195307   1.78   0.39   1.58   1.79   1.48   3.23   1.89   2.58   3.22   1.62
195308  -4.23  -6.42  -5.87  -7.58  -6.57  -2.46  -2.71  -1.86  -0.21  -7.07
195309  -1.56  -2.64  -0.70  -3.25   2.26   2.11  -1.32  -0.38   1.27  -2.45
195310   1.37   6.61   4.99   4.23   3.97   2.72   0.77   2.70   4.68   3.26
195311   0.55   1.94   2.77   2.12   1.03   3.52   0.63   6.31   2.91   2.75
195312  -1.82  -3.10  -1.32  -1.58  -0.67  -2.33  -2.05   0.05   0.84  -2.26
195401   6.57   6.79   7.95  10.12   7.30   3.75   6.72   5.92   3.51   7.46
195402   0.70   0.26   1.53   1.97   1.88   3.37   0.16   1.34   2.13   1.73
195403   1.11   1.33   4.39   2.84   4.01   1.65   1.31   0.15   2.78   2.86
195404  -0.97  -0.80   2.95   3.33   3.54   2.03   0.03   2.18   1.16   2.24
195405   4.74   4.57   4.73   3.99   2.52   3.61   2.48   2.33   2.63   5.43
195406   1.30   0.85   1.62  -2.79   3.78   0.83   1.63  -0.31   1.35   1.35
195407   7.69   5.72   7.69   2.81   7.72   9.03   8.77   7.08   5.85   7.67
195408  -1.35  -1.34  -1.36   0.57  -3.21   0.67   0.33  -1.74  -1.35   0.22
195409   3.10   5.02   4.84   6.89   6.10   4.61   4.27   5.43   1.90   4.28
195410  -0.62  -1.12  -0.23  -1.46  -0.26   1.61  -2.33   0.28  -3.51   0.88
195411   6.42   6.41  11.08   9.44  12.28   9.19   6.64  12.04   5.01  10.55
195412   6.98   8.98   9.50   9.49   8.00  13.85   7.04   8.00   3.88  12.77
195501   1.75   2.12   1.18  -0.08   1.87   3.36   1.40  -2.24   1.51   1.94
195502   2.42   5.35   5.32   3.57   6.58   2.54   2.48   3.80   3.84   4.41
195503  -0.29  -0.07   0.13   0.84   0.22   2.75  -1.57   4.59  -0.89   0.92
195504   2.20   3.98   1.74   0.57   2.55   5.49   2.45   4.12   2.58   3.23
195505  -0.52   0.35   0.59   0.60   0.94   1.30   1.63   1.05  -0.06   2.09
195506   1.91   2.12   5.28   7.09   3.35  -2.27   3.83   1.47   1.66   2.19
195507   1.92   3.07   0.17  -0.58  -2.76   4.31   1.98   1.02   3.31  -0.94
195508  -1.19  -0.24   1.91   1.50  -0.23  -3.97  -0.03  -0.25   0.06   0.47
